source_kind,source_name,target,variant,layout,image_position,notes
slice,slices.interview,composite,dark+boxed,,,"sections.section-header (background=dark, boxed=true) for header/image + N standalone cards.content-card per Q&A pair (title=question, content=answer). content-card is allowed directly in page dynamic zone."
slice,slices.issues-header,sections.three-column-grid,bordered,,,"itemStyle=bordered. Each item in features[] → elements.how-it-works-item (title=f.title, description=f.text/description). section field REQUIRED — from LABEL/TITLE/DESCRIPTION on slice (upperTitle/title/description), fall back to {title: 'Issues'} if all empty. Note: items live under `features`, not `items`/`issues`."
slice,slices.intro,conditional,,,,"Position-dependent. If first slices[] entry AND no useCaseHero on the record → sections.hero. Otherwise → sections.section-header (no background, layout=center)."
slice,slices.large-features-slice,sections.two-column-grid,,,,"Single component. Grid's required section field carries the intro/title. Items = elements.how-it-works-item per feature (title + description). Same pattern as top-features."
slice,slices.large-video,media.video,,center,,"alignment=center. SKIP if url missing."
slice,slices.new-intro,sections.section-header,,,,Heading-only block.
slice,slices.news-list,sections.news-list,,,,"Auto-fetched chronological list — target component has NO attributes. Emit `{ __component: 'sections.news-list' }` with no fields. Always succeeds; never SKIP."
slice,slices.newsletter-banner,forms.newsletter,,,,"Limited migration: only the hubspotForm relation. Frontend renders fixed copy. SKIP if no resolvable hubspot-form on target."
slice,slices.quote,testimonials.quote,boxed,,,Standard quote treatment.
slice,slices.reviews-slider,sections.reviews OR N×testimonials.quote,,,,"v4 has reviews INLINE (each .reviews.data[*].attributes has author{name,description,image} + text). Primary: emit sections.reviews with title (from TITLE/upperTitle, fall back to 'What customers say' — REQUIRED), subTitle from LABEL, description from DESCRIPTION; resolve reviews relation by author name match on target. FALLBACK when no authors resolve: emit N×testimonials.quote directly into dynamic zone (quote=r.text, authorName=r.author.name, authorRole=r.author.description, variant=boxed). Either branch preserves content."
slice,slices.related-case-studies,SKIP,,,,"Frontend renders related items algorithmically. Migrating creates duplicate content. Kept as SKIP."
slice,slices.section-with-image,cards.feature-card,bordered,full,flip_textPosition,"imagePosition = textPosition==='left' ? 'right' : 'left' (v4 textPosition = where text is; v5 imagePosition = where image is). MUST emit image AND ctaLinks: image is a component (image.media is the real media — deep-populate, then find-before-upload → utilities.basic-image {media,alt,width,height}); button is a component (button.link.{href,text} → utilities.link). populate:'*' returns image:{} / button:{theme} — that's a shallow-populate bug, not a data gap."
slice,slices.side-hero-with-image,polymorphic,,,,"Shape-dispatched (see Step 6.1). whiteCards.length>0 → sections.three-column-grid (stats). logos.length>0 → composite section-header + media.brand-logo-grid (brand wall). image only → composite section-header + cards.feature-card. features only → composite section-header + two-column-grid. None populated → section-header only."
slice,slices.simple-text-next-to-image,cards.feature-card,bordered,full,left,"Single card. imagePosition=left. SKIP if no title."
slice,slices.stacking-cards,composite,,,,"sections.section-header (from title) + N standalone cards.content-card per card in cards[] (title=card.title, content=card.description as richtext). Schema constraint: feature-card-grid.items requires cards.feature-card, so we can't put content-cards in a grid wrapper; emitting them directly is allowed by the page dynamic zone."
slice,slices.text-next-to-big-image,cards.feature-card,bordered,full,right,"Single card. imagePosition=right."
slice,slices.text-next-to-image,cards.feature-card,bordered,full,flip_textPosition,"Same image-position flip as section-with-image."
slice,slices.text-slice,conditional,,,,"Three-way dispatch: has button → sections.cta-banner (section from label/title/text, ctaLinks from button); purple theme → sections.section-header (utilities.section-header.variant=purple inside); else → sections.richtext (markdown from label/title/text)."
slice,slices.text-with-cards,sections.feature-card-grid,plain,third,,"Grid with built-in section header from title/intro. Items = cards.feature-card size=sm with icon inline. SKIP if cards[] empty."
slice,slices.text-with-image-and-gradient,cards.feature-card,bordered,full,right,"Single card. ctaLinks from DownloadLink (button.link or button.download)."
slice,slices.text-with-key-numbers,sections.three-column-grid,,,,"INTERIM: keyNumber[] {number,text} -> three-column-grid items=how-it-works-item {title:number, description:text}, itemStyle=default; section from intro. Deep-populate keyNumber via populate[slices][on][slices.text-with-key-numbers][populate][keyNumber][populate]=*. Renders as a stats block (like company-stat-list); keeps stats visible. SKIP only if intro+keyNumber both empty. Upgrade to a dedicated key-numbers component if built. **CASE-STUDY targets:** their content dynamic-zone does NOT allow sections.three-column-grid — but it DOES allow nearly everything else (hero, hero-home, video, section-header, two-column-grid, two-columns-benefits, how-it-works, feature-card, feature-card-grid, content-card, case-study-card, image, image-gallery, brand-logo-grid, quote, testimonies, meet-the-team, cta-banner, community-banner, comparator-grid, disclaimer, richtext, faq-section, forms.*, embed, data-sink). Disallowed on case-study: three-column-grid, tabbed-feature-overview, reviews, news-list. So map keyNumber[] to sections.feature-card-grid (variant=plain, layout=third, items {title:number, description:text}); use NORMAL Step 6 mapping for everything else (hero->hero, video->video, etc.). NEVER downgrade existing hero/video/section-header entries to richtext."
slice,slices.top-features,sections.two-column-grid,,,,"Single component. Grid's required section field carries the intro (or default {title: 'Features'}). Items = elements.how-it-works-item per feature (title=feature.title, description=feature.description). feature.links/icon dropped (how-it-works-item has only icon + title + description)."
slice,slices.universal-rich-text,sections.richtext,,,,"Map richText directly. SKIP if empty. EXCEPTION: if the body is ONLY a raw <iframe>/embed (lu.ma calendar, hubspot/embedded forms, video), emit media.embed {url,width,height} parsed from the iframe — the frontend Markdown (rehypeSanitize/defaultSchema) STRIPS raw iframe tags so they vanish in sections.richtext, and a title-less cards.content-card null-guards out entirely."
root_field,careersHero,sections.hero,,,,"PREPEND to newContent. From careersHero.{label, title, text, button}. Include image when present (image field maps to hero's cover via existing media-upload pipeline)."
root_field,communityHero,composite,,,,"PREPEND sections.hero from communityHero.hero.{label, title, text, button}; then if communityHero.brandsWithIntro is present, also append a media.brand-logo-grid (logos uploaded from old CDN)."
root_field,featuresHero,sections.hero,,,,PREPEND. From featuresHero.{label/title/text/button} (or .hero.intro nested same as useCaseHero — verify per record)."
root_field,homeHero,sections.hero-home (preserve existing) OR sections.hero,,,,"Path is homeHero.hero.intro.{theme,title,text,button,cliContent,smallTextWithLink,newsWithLink} (same nesting as useCaseHero). When target's content[0] is already sections.hero-home, PRESERVE that component verbatim and don't emit a new hero. Only fall back to sections.hero when no existing hero is present."
root_field,useCaseHero,sections.hero,,,,"PREPEND on use-case records. From useCaseHero.hero.intro.{label, title, text, button[0]}. button is an ARRAY and intro:{populate:'*'} returns it WITHOUT .link → deep-populate intro.button (Step 8) so button[0].link.{href,text} resolves; map button[0].link → hero ctaLinks. Dropping it loses the hero CTA on every use-case page."
root_field,whiteHero,sections.hero,,,,PREPEND. White visual variant (background=light on hero if supported).
content_type,cms-comparison-comparator-grid,sections.comparator-grid,,,,"Comparator grid is a root-level field on cms-comparison records — handled by the cms-comparison content type's own mapping, not a slice rule."
slice,slices.content-cards-list,cards.content-card,,,,"Each card in cards[] {label,title,content} -> one standalone cards.content-card (label->label, title->title, content->content REQUIRED richtext). Markdown tables survive; raw <iframe> embeds are STRIPPED by the frontend Markdown sanitize (rehypeSanitize) — embed-only content needs media.embed, not markdown. SKIP cards with empty content. Reach cards via populate[slices][on][slices.content-cards-list][populate][cards][populate]=*. (Common on cms-comparison/comparator sources.) FRONTEND GUARD: StrapiContentCard returns null when title is EMPTY -> a cards.content-card MUST have a non-empty title to render at all; for a title-less richtext body (e.g. a mis-mapped slices.universal-rich-text) emit sections.richtext instead (no title guard)."
slice,slices.faq,sections.faq-section,,,,"categories[].questions[] {question,answer} -> single sections.faq-section, items[] = questions FLATTENED across all categories (utilities.accordions {question,answer}, both REQUIRED). Category names dropped (no grouping in faq-section). Reach via populate[slices][on][slices.faq][populate][categories][populate]=*."
slice,slices.image-gallery,media.image-gallery,contained,,,"image[] mosaic -> media.image-gallery variant=contained; upload+dedupe images from old CDN (image-slider routine). Reach via populate[slices][on][slices.image-gallery][populate][image][populate]=*. SKIP if no images survive. (New UID alongside slices.image-slider.)"
slice,slices.team-slice,SKIP (sections.meet-the-team only if members[] present),,,,"Source team-slice is intro-only in CMS; members are frontend-auto-fetched. v5 sections.meet-the-team REQUIRES items[] (elements.team-member-item, role REQUIRED) and does NOT auto-fetch. SKIP when source has no members[]; else map intro->section + members->items."
slice,slices.features-grid,sections.feature-card-grid,,,,"cards[] {title, description=text, icon, button} -> feature-card-grid, items=cards.feature-card. NOTE: card.button here is a FLAT link object {href,text,target} (NOT wrapped under button.link) -> resolveLink must accept both the flat shape and the wrapped button.link shape. Distinct UID from features-slice/features-card. section from LABEL/TITLE/DESCRIPTION. on-populate cards (image/icon/button)."
slice,slices.two-columns-benefits,sections.two-columns-benefits,,,,"v5-native same-named component. benefits[] {title, description=text, icon} -> items=elements.how-it-works-item. 1:1. on-populate benefits (icon)."
slice,slices.capabilities-dynamic-cards,sections.feature-card-grid,,,,"cards[] with per-card images -> feature-card-grid (NOT tabbed-feature-overview; differs from slices.capability-cards). Reach images via populate[slices][on][slices.capabilities-dynamic-cards][populate][cards][populate][image][populate][media]=true (cards.image populate=* returns image:{} shallow = false data gap). EACH CARD ALSO carries a button (FLAT link {href,text,target}) -> emit ctaLinks from card.button; do NOT drop (multiple prior migrations dropped these 'Learn more' CTAs)."
slice,slices.get-demo-layout,forms.hubspot-form,,,,"leftSide+rightSide demo/form layout -> forms.hubspot-form; HubSpot relation usually unresolved (form:null) -> renders empty. HubSpot mapping is a non-goal; emit the component but expect empty unless a hubspot-form relation map is provided."
slice,slices.icon-cards,sections.feature-card-grid,plain,half,,"cards[] {icon, card.{title,text}, link} -> feature-card-grid items=cards.feature-card variant=plain layout=half, title/description from card.card, icon→feature-card icon, ctaLinks from card.link. Do NOT map to two-column-grid (drops per-card CTAs). Seen on /pricing."
slice,slices.plan-cards,plans.plan-pricing-cards,,,,"Dedicated v5 pricing component (plan switcher cards). Curated on target; preserve. Plans are a relation / frontend-rendered."
slice,slices.plans-grid,plans.plan-comparison-table,,,,"Dedicated v5 pricing comparison table. `plans` relation to api::plan documentIds (populate source plan slugs/ids; empty plans[] renders nothing + an all-empty entry is DROPPED on re-PUT, so populate the relation). Preserve curated; restore plans if dropped."
fallback,*,migration.data-sink,,,,"If allowed in target dynamic zone; else SKIP and report."
